11/23/2023 15:08,name1,"Voice, Piano","Country, Folk, Indie, Pop","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",4,No,,2,"Yes, I have watched the orientation video and I know how to use the space.",,She/her
11/23/2023 15:22,name2,"Voice, Acoustic Guitar, Electric Guitar","Alternative, Indie, Rock","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",3,"Yes, and I would be interested in performing it with others",,3,"Yes, I have watched the orientation video and I know how to use the space.",,She/her
11/23/2023 15:24,name3,"Drums, Bass","Alternative, Funk, Indie, Pop, Punk, Rock, R&B, Soul",I go with the flow,4,No,,3,"Yes, I have watched the orientation video and I know how to use the space.",,He/his 
11/23/2023 15:54,name4,Voice,"Alternative, Country, Folk, Grunge, Indie, Jazz, Punk, Rock, ","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",2,"Yes, and I would be interested in performing it with others",,3,"Yes, I have watched the orientation video and I know how to use the space.",,She/her
11/23/2023 16:50,name5,"Voice, Acoustic Guitar","Alternative, Folk, Funk, Indie, Jazz, Pop, Rock, R&B, Soul",I go with the flow,4,"Yes, and I would be interested in performing it with others",,1,"Yes, I have watched the orientation video and I know how to use the space.",,They/them
11/23/2023 16:59,name6,"Voice, Acoustic Guitar, Electric Guitar","Funk, Grunge, Indie, Jazz, Metal, Pop, Punk, Rock, Hardcore/Skramz/Screamo/Emoviolence/Emocore/Powerviolence","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",5,"Yes, and I would be interested in performing it with others",,2,"Yes, I have watched the orientation video and I know how to use the space.",,They/He
11/23/2023 17:12,name7,Voice,"Indie, Pop, Rock, R&B","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",4,No,,2,"Yes, I have watched the orientation video and I know how to use the space.",,She/Her
11/23/2023 17:35,name8,Electric Guitar,"Alternative, Grunge, Metal, Punk, Rock, Electric","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",3,No,,2,"Yes, I have watched the orientation video and I know how to use the space.",,He/Him
11/23/2023 19:25,name9,Voice,"Alternative, Indie, Rock, New wave and glam rock","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",2,No,,1,"Yes, I have watched the orientation video and I know how to use the space.",,She/he
11/23/2023 20:28,name10,"Voice, Electric Guitar, Bass, 12 string acoustic sometimes","Indie, Jazz, Rock, R&B, I love experimental/improvisational ","I don't usually lead, but I'm comfortable speaking up and talking about my ideas",4,"Yes, and I would be interested in performing it with others",,2,"Yes, I have watched the orientation video and I know how to use the space.",,He/they
